Epoch,Training Loss,Validation Loss
1,6.9836,4.9493
2,6.8354,4.7037
3,6.1635,4.4742
4,5.7093,4.267
5,5.4053,4.0812
6,5.1485,3.9105
7,4.8243,3.7454
8,4.8122,3.5928
9,4.3364,3.4477
10,4.2925,3.3197
11,3.9417,3.2018
12,3.8142,3.0997
13,3.4979,3.0242
14,3.3973,2.9776
15,3.3047,2.9468
16,3.2809,2.9181
17,3.1962,2.8883
18,3.1327,2.8582
19,3.0453,2.8288
20,3.0158,2.8018
21,2.9846,2.7759
22,2.9442,2.7508
23,2.8398,2.7263
24,2.8497,2.7031
25,2.7566,2.6803
26,2.7371,2.6587
27,2.7306,2.638
28,2.6523,2.6176
29,2.6192,2.5977
30,2.5614,2.5779
31,2.5293,2.5589
32,2.4782,2.5411
33,2.4531,2.5249
34,2.4386,2.5095
35,2.4216,2.4948
36,2.3739,2.4815
37,2.3704,2.4696
38,2.3208,2.4589
39,2.2921,2.4491
40,2.2865,2.4404
41,2.2204,2.4325
42,2.2112,2.4258
43,2.1981,2.4198
44,2.172,2.4145
45,2.1596,2.4097
46,2.1328,2.4053
47,2.1139,2.4012
48,2.0758,2.3972
49,2.0417,2.3934
50,1.992,2.3899
51,2.0026,2.3869
52,1.9691,2.3844
53,1.9524,2.3819
54,1.9265,2.3794
55,1.8893,2.3761
56,1.8696,2.3729
57,1.8329,2.3701
58,1.8276,2.3669
59,1.7811,2.3635
60,1.7772,2.3612
61,1.7176,2.3596
62,1.7063,2.3573
63,1.6712,2.3559
64,1.6553,2.3556
65,1.6172,2.3558
